timestamp,ecg,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,status_ecg,status_imu
16:09:37.596,-0.2599,51.95,0.55,8.31,10.68,1.91,-0.34,NORMAL,NORMAL
16:09:37.697,-0.4865,50.79,1.26,9.79,9.81,-0.96,-0.42,NORMAL,NORMAL
16:09:37.798,-0.4205,49.72,-0.97,8.82,8.92,0.30,0.46,NORMAL,NORMAL
16:09:37.898,-0.0816,48.76,2.27,10.22,8.01,1.90,-1.17,NORMAL,NORMAL
16:09:37.999,0.3898,47.91,-0.68,10.04,7.07,0.14,-1.21,NORMAL,NORMAL
16:09:38.100,0.6089,47.16,0.16,9.20,6.12,0.04,0.62,NORMAL,NORMAL
16:09:38.201,0.3787,46.52,-1.53,9.92,5.15,-1.84,1.24,NORMAL,NORMAL
16:09:38.302,-0.1157,45.99,-1.77,8.74,4.17,-0.02,-0.64,NORMAL,NORMAL
16:09:38.403,-0.3846,45.57,-3.09,9.84,3.18,-0.45,-0.19,NORMAL,NORMAL
16:09:38.504,-0.4680,45.27,-0.32,8.82,2.18,0.48,-0.58,NORMAL,NORMAL
16:09:38.605,-0.2258,45.08,0.63,10.37,1.17,-1.92,-2.52,NORMAL,NORMAL
16:09:38.706,0.1952,45.00,-0.32,9.04,0.16,-1.56,-0.70,NORMAL,NORMAL
16:09:38.807,1.2538,45.04,1.96,9.62,-0.85,-0.53,-1.16,NORMAL,NORMAL
16:09:38.908,0.4735,45.19,2.08,10.86,-1.86,-3.02,1.30,NORMAL,RED_FLAG_FATIGUE
16:09:39.009,0.0210,45.46,-3.51,12.58,-2.86,0.66,-0.50,NORMAL,NORMAL
16:09:39.110,-0.3264,45.84,1.55,8.00,-3.86,0.58,-0.75,NORMAL,NORMAL
16:09:39.211,-0.4663,46.34,-0.79,10.21,-4.84,0.89,-1.44,NORMAL,NORMAL
16:09:39.312,-0.2816,46.94,0.33,9.32,-5.81,-0.50,0.35,NORMAL,NORMAL
16:09:39.413,0.1232,47.66,-1.83,9.08,-6.77,-1.62,-0.86,NORMAL,NORMAL
16:09:39.514,0.8985,48.48,-0.48,9.80,-7.71,2.31,-0.15,NORMAL,NORMAL
16:09:39.615,0.5358,85.59,-0.79,10.22,-8.63,0.16,-1.70,NORMAL,NORMAL
16:09:39.716,0.1505,84.56,0.94,8.75,-9.53,1.60,0.04,NORMAL,NORMAL
16:09:39.816,-0.3717,83.43,2.05,9.84,-10.40,0.35,0.13,NORMAL,NORMAL
16:09:39.953,-0.4142,81.77,-1.09,8.99,-11.53,-2.08,-0.25,NORMAL,NORMAL
16:09:40.055,-0.2196,80.37,0.04,9.66,-12.37,-0.23,0.57,NORMAL,NORMAL
16:09:40.156,0.0897,78.92,5.23,9.77,-13.14,1.05,-0.77,NORMAL,RED_FLAG_FATIGUE
16:09:40.265,1.3028,77.37,-1.69,11.19,-13.89,0.37,0.94,NORMAL,NORMAL
16:09:40.376,0.4234,75.60,0.69,11.67,-14.67,-1.39,0.50,NORMAL,NORMAL
16:09:40.477,-0.1147,73.77,-1.65,8.92,-15.38,-0.87,0.58,NORMAL,NORMAL
16:09:40.577,-0.3827,71.99,-2.17,11.30,-16.00,1.16,-1.42,NORMAL,NORMAL
16:09:40.678,-0.5416,70.14,-1.20,10.99,-16.59,0.21,-1.85,NORMAL,NORMAL
16:09:40.779,-0.2403,68.23,1.97,10.06,-17.13,-1.39,-0.14,NORMAL,NORMAL
16:09:40.879,0.1956,66.26,1.04,11.81,-17.63,-0.08,1.13,NORMAL,NORMAL
16:09:40.980,1.2617,64.25,-0.21,8.95,-18.08,-1.02,-1.73,NORMAL,NORMAL
16:09:41.081,0.3842,62.17,0.03,10.36,-18.49,0.92,0.55,NORMAL,NORMAL
16:09:41.181,0.0252,60.06,2.40,10.06,-18.85,-1.14,1.99,NORMAL,NORMAL
16:09:41.282,-0.3787,57.90,1.11,9.44,-19.16,1.66,0.11,NORMAL,NORMAL
16:09:41.383,-0.4488,55.71,-1.17,9.15,-19.43,-0.12,0.08,NORMAL,NORMAL
16:09:41.484,-0.1183,53.50,-3.70,9.00,-19.64,1.59,-1.32,NORMAL,NORMAL
16:09:41.585,0.2432,51.25,-0.73,9.59,-19.81,0.96,-0.28,NORMAL,NORMAL
16:09:41.686,1.1970,86.00,-1.73,9.47,-19.92,1.18,1.00,NORMAL,NORMAL
16:09:41.787,0.3679,88.27,1.43,9.90,-19.99,-1.45,0.42,NORMAL,NORMAL
16:09:41.887,-0.0634,90.53,0.51,9.81,-20.00,0.78,0.67,NORMAL,NORMAL
16:09:41.988,-0.3808,92.80,1.45,9.46,-19.96,-0.74,0.06,NORMAL,NORMAL
16:09:42.089,-0.4521,95.06,1.63,10.20,-19.87,0.55,0.07,NORMAL,NORMAL
16:09:42.190,-0.1839,97.31,-4.42,10.45,-19.73,0.37,-0.05,NORMAL,NORMAL
16:09:42.291,0.2217,99.53,-1.29,10.49,-19.55,1.89,1.55,NORMAL,NORMAL
16:09:42.391,1.0911,101.73,-1.55,8.93,-19.31,0.21,0.87,NORMAL,NORMAL
16:09:42.492,0.2702,103.90,2.45,9.70,-19.02,-1.17,1.60,NORMAL,NORMAL
16:09:42.592,-0.0087,106.03,0.78,9.46,-18.69,-0.07,-1.34,NORMAL,NORMAL
16:09:42.693,-0.4066,108.14,2.55,9.31,-18.30,0.67,-0.50,NORMAL,NORMAL
16:09:42.795,-0.4641,110.19,-1.37,9.17,-17.87,0.33,-0.04,NORMAL,NORMAL
16:09:42.896,-0.0993,112.20,2.81,11.26,-17.40,-0.88,-1.21,NORMAL,NORMAL
16:09:42.996,0.2743,114.15,-1.31,9.41,-16.88,0.50,-0.95,NORMAL,NORMAL
16:09:43.097,0.7279,116.03,-1.46,9.19,-16.31,0.51,-0.56,NORMAL,NORMAL
16:09:43.198,0.2803,117.85,-0.57,11.23,-15.71,0.72,1.00,NORMAL,NORMAL
16:09:43.299,-0.1084,119.59,-2.48,9.97,-15.07,-0.48,-0.03,NORMAL,NORMAL
16:09:43.400,-0.5577,121.27,-2.56,8.80,-14.38,-0.15,0.67,NORMAL,NORMAL
16:09:43.501,-0.4044,122.86,-1.92,10.27,-13.66,1.42,-0.89,NORMAL,NORMAL
16:09:43.602,-0.0913,124.36,1.30,9.30,-12.91,-0.58,0.55,NORMAL,NORMAL
16:09:43.702,0.4079,9.22,-5.92,10.65,-12.13,-0.80,-0.15,NORMAL,RED_FLAG_FATIGUE
16:09:43.803,0.4912,7.89,-2.70,8.66,-11.31,-1.23,1.08,NORMAL,NORMAL
16:09:43.916,0.1422,6.51,-2.12,10.47,-10.36,-0.35,0.07,NORMAL,NORMAL
16:09:44.017,-0.2368,5.38,0.13,9.47,-9.48,-0.83,0.73,NORMAL,NORMAL
16:09:44.118,-0.3966,4.36,0.09,10.98,-8.59,1.12,-0.37,NORMAL,NORMAL
16:09:44.219,-0.2745,3.43,-2.25,9.34,-7.66,-2.36,0.87,NORMAL,NORMAL
16:09:44.320,0.0787,2.62,-3.01,10.23,-6.72,2.09,-0.20,NORMAL,NORMAL
16:09:44.421,1.0953,1.91,0.48,8.16,-5.76,0.50,-0.27,NORMAL,NORMAL
16:09:44.521,0.3700,1.31,-2.65,11.13,-4.79,1.10,0.96,NORMAL,NORMAL
16:09:44.622,-0.1092,0.82,-2.92,11.67,-3.81,1.54,-0.45,RED_FLAG_ARRHYTHMIA,NORMAL
16:09:44.723,-0.3412,0.45,1.47,9.30,-2.82,-0.35,-0.59,NORMAL,NORMAL
16:09:44.823,-0.5107,0.19,1.53,9.36,-1.82,1.18,0.31,NORMAL,NORMAL
16:09:44.937,-0.1075,0.03,0.02,11.15,-0.68,0.17,1.65,NORMAL,NORMAL
16:09:45.038,0.3019,0.01,-1.65,10.80,0.33,0.08,-0.38,NORMAL,NORMAL
16:09:45.139,0.8497,0.10,-0.08,10.82,1.33,-0.01,-0.56,NORMAL,NORMAL
16:09:45.241,0.2992,0.31,2.42,9.15,2.35,-0.95,-0.00,NORMAL,NORMAL
16:09:45.342,-0.2106,0.64,3.43,9.86,3.35,1.38,-1.18,NORMAL,NORMAL
16:09:45.443,-0.4499,1.07,1.03,11.46,4.34,0.03,0.34,NORMAL,NORMAL
16:09:45.544,-0.4008,1.62,-0.87,10.29,5.32,0.96,-1.09,NORMAL,NORMAL
16:09:45.645,-0.1039,2.28,0.99,10.57,6.28,-0.12,0.58,NORMAL,NORMAL
16:09:45.752,0.5587,131.92,0.64,9.33,7.28,-1.48,-0.80,NORMAL,NORMAL
16:09:45.852,0.5130,131.03,0.60,9.42,8.22,0.86,-1.09,NORMAL,NORMAL
16:09:45.953,0.1604,130.04,3.63,10.39,9.13,-0.68,1.13,NORMAL,NORMAL
16:09:46.054,-0.2923,128.96,1.24,10.05,10.01,-0.25,2.38,NORMAL,NORMAL
16:09:46.154,-0.4749,127.78,0.62,9.23,10.87,-0.34,0.87,NORMAL,NORMAL
16:09:46.255,-0.2202,126.50,0.79,10.61,11.70,-0.99,-0.66,NORMAL,NORMAL
16:09:46.356,0.2025,125.13,0.88,11.06,12.50,1.16,-1.58,NORMAL,NORMAL
16:09:46.456,1.2507,123.67,1.02,9.41,13.27,-0.79,0.69,NORMAL,NORMAL
16:09:46.557,0.4546,122.12,0.08,10.46,14.01,3.21,-1.75,NORMAL,RED_FLAG_FATIGUE
16:09:46.658,-0.0559,120.49,3.53,10.03,14.71,-0.28,-0.23,NORMAL,NORMAL
16:09:46.760,-0.3977,118.77,-1.12,8.25,15.38,0.41,-0.84,NORMAL,NORMAL
16:09:46.862,-0.4849,116.96,-1.15,11.22,16.01,0.06,-0.26,NORMAL,NORMAL
16:09:46.963,-0.1190,115.11,1.96,11.95,16.60,-1.69,-0.20,NORMAL,NORMAL
16:09:47.064,0.3346,113.19,3.01,11.20,17.14,1.02,0.89,NORMAL,NORMAL
16:09:47.166,0.8526,111.21,-1.46,9.36,17.64,-0.04,1.58,NORMAL,NORMAL
16:09:47.266,0.3115,109.18,-1.91,11.67,18.09,0.56,2.52,NORMAL,NORMAL
16:09:47.367,-0.1898,107.11,1.49,11.51,18.50,-0.54,1.88,NORMAL,NORMAL
16:09:47.468,-0.4328,104.99,-0.43,9.63,18.86,0.28,1.26,NORMAL,NORMAL
16:09:47.569,-0.4537,102.83,0.68,11.68,19.17,-0.59,-0.51,NORMAL,NORMAL
16:09:47.670,-0.0037,100.64,-2.32,9.78,19.43,1.86,-0.20,NORMAL,NORMAL
16:09:47.771,0.5099,36.58,3.82,10.47,19.65,-1.47,-0.84,NORMAL,NORMAL
16:09:47.872,0.4397,38.82,-1.56,10.22,19.81,1.45,1.06,NORMAL,NORMAL
16:09:47.973,0.0858,41.09,-1.60,9.31,19.92,-0.52,0.21,NORMAL,NORMAL
16:09:48.074,-0.3448,43.35,2.02,9.55,19.99,1.24,-0.15,NORMAL,NORMAL
16:09:48.174,-0.5118,45.62,-1.10,8.22,20.00,1.73,0.05,NORMAL,NORMAL
16:09:48.275,-0.3447,47.88,0.61,9.69,19.96,0.14,1.89,NORMAL,NORMAL
16:09:48.376,0.2245,50.14,1.89,7.77,19.87,0.81,0.18,NORMAL,NORMAL
16:09:48.477,1.0246,52.38,-0.57,9.04,19.73,0.51,1.16,NORMAL,NORMAL
16:09:48.577,0.4817,54.61,-1.18,10.82,19.54,0.57,0.12,NORMAL,NORMAL
16:09:48.678,0.0697,56.81,-1.39,9.12,19.30,0.13,-0.45,NORMAL,NORMAL
16:09:48.779,-0.3816,58.99,-0.47,10.82,19.01,-0.39,-1.12,NORMAL,NORMAL
16:09:48.880,-0.4898,61.13,1.45,9.63,18.67,-0.50,0.69,NORMAL,NORMAL
16:09:48.981,-0.1800,63.22,2.94,10.35,18.29,0.52,0.31,NORMAL,NORMAL
16:09:49.082,0.2627,65.27,0.31,9.66,17.86,-1.89,-1.78,NORMAL,NORMAL
16:09:49.182,1.2942,67.27,-1.20,9.65,17.38,-0.42,1.31,NORMAL,NORMAL
16:09:49.283,0.3386,69.22,-0.20,9.46,16.86,1.32,-0.62,NORMAL,NORMAL
16:09:49.384,0.0082,71.10,-2.50,7.87,16.29,-0.41,-0.23,NORMAL,NORMAL
16:09:49.485,-0.4493,72.92,-0.55,10.90,15.69,-0.68,1.24,NORMAL,NORMAL
16:09:49.586,-0.5081,74.66,-0.42,10.01,15.04,0.42,0.62,NORMAL,NORMAL
16:09:49.687,-0.0669,76.33,-1.50,11.03,14.36,-2.73,1.78,NORMAL,NORMAL
16:09:49.788,0.3074,57.08,2.98,10.11,13.64,0.55,-0.97,NORMAL,NORMAL
16:09:49.889,0.9683,55.57,-0.71,10.46,12.88,-0.77,1.21,NORMAL,NORMAL
16:09:49.990,0.2686,54.16,0.36,9.37,12.09,-0.07,-0.68,NORMAL,NORMAL
16:09:50.091,-0.0923,52.83,1.83,10.08,11.27,-0.53,-0.20,NORMAL,NORMAL
16:09:50.192,-0.4706,51.60,0.18,9.33,10.43,0.00,-0.90,NORMAL,NORMAL
16:09:50.293,-0.4689,50.47,-0.26,10.49,9.55,0.68,0.04,NORMAL,NORMAL
16:09:50.393,0.0338,49.43,-2.26,9.02,8.66,-0.67,0.62,NORMAL,NORMAL
16:09:50.494,0.2940,48.50,0.95,9.89,7.73,-0.78,0.90,NORMAL,NORMAL
16:09:50.596,0.6658,47.68,0.41,9.61,6.79,-0.68,-1.46,NORMAL,NORMAL
16:09:50.705,0.2372,46.90,3.60,11.59,5.75,-0.53,-0.46,NORMAL,NORMAL
16:09:50.806,-0.1688,46.30,1.76,10.98,4.78,-0.07,0.66,NORMAL,NORMAL
16:09:50.907,-0.4892,45.82,2.65,9.40,3.79,0.38,-0.68,NORMAL,NORMAL
16:09:51.008,-0.3756,45.44,0.65,8.85,2.80,0.08,-0.23,NORMAL,NORMAL
16:09:51.109,-0.0481,45.18,-1.23,8.98,1.80,0.74,-0.21,NORMAL,NORMAL
16:09:51.209,0.4331,45.04,-1.76,12.24,0.79,-0.47,-1.29,NORMAL,NORMAL
16:09:51.310,0.4297,45.00,1.06,10.76,-0.22,0.64,0.02,NORMAL,NORMAL
16:09:51.411,0.2628,45.08,2.09,8.95,-1.23,-1.20,0.44,NORMAL,NORMAL
16:09:51.512,-0.2675,45.28,1.23,9.96,-2.23,1.26,0.72,NORMAL,NORMAL
16:09:51.613,-0.5008,45.59,-2.23,9.04,-3.23,-0.43,0.48,NORMAL,NORMAL
16:09:51.714,-0.3152,46.01,-1.19,9.76,-4.22,0.29,0.40,NORMAL,NORMAL
16:09:51.815,0.0059,88.45,-0.36,8.77,-5.20,0.17,-1.25,NORMAL,NORMAL
16:09:51.915,0.3101,87.81,3.00,8.68,-6.17,-0.87,0.90,NORMAL,NORMAL
16:09:52.016,0.6180,87.05,1.14,10.29,-7.12,0.28,2.11,NORMAL,NORMAL
16:09:52.117,0.2064,86.19,4.12,10.64,-8.05,0.85,0.28,NORMAL,NORMAL
16:09:52.219,-0.1389,85.22,-0.22,9.54,-8.97,1.02,0.59,NORMAL,NORMAL
16:09:52.320,-0.4983,84.15,3.00,9.27,-9.86,1.06,-1.26,NORMAL,NORMAL
16:09:52.421,-0.3720,82.98,-2.66,10.23,-10.73,-0.42,0.12,NORMAL,NORMAL
16:09:52.522,-0.0984,81.71,-2.44,8.23,-11.56,0.75,-0.97,NORMAL,NORMAL
16:09:52.634,0.2999,80.20,2.09,9.90,-12.46,0.89,0.20,NORMAL,NORMAL
16:09:52.734,0.7115,78.74,2.11,10.37,-13.23,0.20,0.05,NORMAL,NORMAL
16:09:52.835,0.2573,77.20,1.02,9.90,-13.97,0.37,1.68,NORMAL,NORMAL
16:09:52.937,-0.1572,75.57,-1.82,9.31,-14.68,-0.97,1.88,NORMAL,NORMAL
16:09:53.038,-0.4654,73.86,0.96,11.66,-15.35,0.18,0.20,NORMAL,NORMAL
16:09:53.153,-0.3836,71.82,-2.83,7.73,-16.06,-0.32,-1.54,NORMAL,NORMAL
16:09:53.254,-0.0770,69.96,-0.41,10.80,-16.64,1.10,-0.97,NORMAL,NORMAL
16:09:53.355,0.2283,68.03,-1.83,9.76,-17.18,-1.38,-0.02,NORMAL,NORMAL
16:09:53.456,0.8170,66.06,-2.93,10.25,-17.67,-1.34,0.11,NORMAL,NORMAL
16:09:53.557,0.3127,64.03,2.44,7.69,-18.12,0.71,0.08,NORMAL,NORMAL
16:09:53.657,-0.0229,61.96,1.29,10.56,-18.53,-0.03,2.22,NORMAL,NORMAL
16:09:53.758,-0.3426,59.84,2.59,9.84,-18.88,0.89,-0.85,NORMAL,NORMAL
16:09:53.859,-0.4202,77.32,-1.59,8.23,-19.19,-0.42,-1.59,NORMAL,NORMAL
16:09:53.960,-0.1963,79.51,4.07,10.53,-19.45,-1.15,-2.01,NORMAL,NORMAL
16:09:54.061,0.2145,81.74,1.43,11.37,-19.66,0.51,1.45,NORMAL,NORMAL
16:09:54.168,1.2907,84.12,4.33,11.06,-19.83,-1.93,-1.61,NORMAL,NORMAL
16:09:54.269,0.3791,86.38,0.64,8.62,-19.94,0.36,1.81,NORMAL,NORMAL
16:09:54.370,0.0328,88.64,1.36,10.66,-19.99,2.28,1.85,NORMAL,NORMAL
16:09:54.471,-0.3122,90.92,1.38,9.69,-20.00,-0.55,0.74,NORMAL,NORMAL
16:09:54.573,-0.5810,93.20,0.25,10.93,-19.95,-0.02,0.77,NORMAL,NORMAL
16:09:54.674,-0.3101,95.46,-3.51,9.97,-19.85,-1.60,-0.75,NORMAL,NORMAL
16:09:54.775,0.0405,97.71,-0.12,10.78,-19.70,-0.85,1.20,NORMAL,NORMAL
16:09:54.875,0.3389,99.94,-0.53,8.94,-19.51,-0.02,0.42,NORMAL,NORMAL
16:09:54.976,0.6939,102.13,1.63,8.71,-19.26,0.03,-1.55,NORMAL,NORMAL
16:09:55.077,0.4015,104.30,-2.07,9.79,-18.96,0.43,-0.96,NORMAL,NORMAL
16:09:55.178,-0.0371,106.43,-0.63,7.49,-18.62,-1.81,-0.55,NORMAL,NORMAL
16:09:55.279,-0.4937,108.53,-0.03,9.53,-18.23,2.17,1.08,NORMAL,NORMAL
16:09:55.380,-0.4604,110.57,-2.54,10.14,-17.79,1.43,0.36,NORMAL,NORMAL
16:09:55.480,-0.3036,112.56,-1.05,9.96,-17.31,-0.75,-0.20,NORMAL,NORMAL
16:09:55.581,0.1838,114.49,-0.49,9.42,-16.78,-0.36,-0.55,NORMAL,NORMAL
16:09:55.682,0.6593,116.36,0.15,9.35,-16.21,0.14,1.61,NORMAL,NORMAL
16:09:55.783,0.4555,118.17,5.27,10.75,-15.60,1.02,0.45,NORMAL,RED_FLAG_FATIGUE
16:09:55.883,0.3602,15.11,3.19,11.07,-14.95,-0.28,-1.09,NORMAL,NORMAL
16:09:55.984,-0.0959,13.45,-1.53,11.35,-14.26,-1.13,0.43,NORMAL,NORMAL
16:09:56.085,-0.3351,11.88,-0.66,8.95,-13.54,-1.20,-1.29,NORMAL,NORMAL
16:09:56.185,-0.4478,10.38,-1.88,8.53,-12.78,0.32,1.22,NORMAL,NORMAL
16:09:56.286,-0.3153,8.98,3.32,10.96,-11.99,0.68,-0.12,NORMAL,NORMAL
16:09:56.387,0.1559,7.67,1.41,10.54,-11.17,-1.14,-1.32,NORMAL,NORMAL
16:09:56.487,0.6214,6.46,-0.27,9.27,-10.32,-0.29,1.43,NORMAL,NORMAL
16:09:56.588,0.5415,5.34,1.72,9.08,-9.45,0.25,1.58,NORMAL,NORMAL
16:09:56.689,0.2623,4.32,1.61,9.84,-8.55,-0.79,-1.92,NORMAL,NORMAL
16:09:56.789,-0.1220,3.40,-4.06,10.22,-7.63,-1.47,-0.42,NORMAL,NORMAL
16:09:56.890,-0.3865,2.59,-1.66,11.64,-6.69,0.35,-1.02,NORMAL,NORMAL
16:09:56.990,-0.5414,1.89,-0.21,9.23,-5.73,-1.17,-1.22,NORMAL,NORMAL
16:09:57.091,-0.3169,1.29,0.58,8.76,-4.76,1.03,0.65,NORMAL,NORMAL
16:09:57.192,0.0417,0.81,-1.40,9.39,-3.77,-0.17,0.30,NORMAL,NORMAL
16:09:57.293,0.3987,0.44,-0.51,10.64,-2.78,0.48,1.03,NORMAL,NORMAL
16:09:57.394,0.8557,0.18,-1.04,10.01,-1.78,-0.96,-0.32,NORMAL,NORMAL
16:09:57.495,0.4098,0.03,0.60,8.16,-0.77,0.17,-0.99,NORMAL,NORMAL
16:09:57.595,0.1015,0.00,1.22,9.75,0.24,-0.43,0.72,NORMAL,NORMAL
16:09:57.696,-0.1241,0.09,-1.94,9.74,1.25,1.67,-0.82,RED_FLAG_ARRHYTHMIA,NORMAL
16:09:57.797,-0.4386,0.29,-2.35,11.58,2.25,-0.50,-1.00,NORMAL,NORMAL
16:09:57.898,-0.4276,134.40,-0.78,11.28,3.25,-1.88,0.70,NORMAL,NORMAL
16:09:57.999,-0.1463,133.98,2.42,10.92,4.24,0.22,-1.26,NORMAL,NORMAL
16:09:58.100,0.1618,133.44,-1.29,8.97,5.22,0.19,-1.03,NORMAL,NORMAL
16:09:58.201,1.0445,132.79,3.25,8.69,6.19,0.93,0.03,NORMAL,NORMAL
16:09:58.302,0.3995,132.03,-0.92,6.95,7.14,1.14,0.01,NORMAL,NORMAL
16:09:58.403,0.2071,131.17,0.84,9.93,8.08,1.41,0.84,NORMAL,NORMAL
16:09:58.504,-0.0715,130.20,-4.40,11.86,8.99,1.33,0.81,NORMAL,NORMAL
16:09:58.604,-0.3477,129.13,-0.37,8.84,9.87,-0.55,-0.03,NORMAL,NORMAL
16:09:58.705,-0.4499,127.97,1.28,10.29,10.74,-0.50,0.76,NORMAL,NORMAL
16:09:58.806,-0.3548,126.70,-2.60,11.74,11.57,0.84,0.75,NORMAL,NORMAL
16:09:58.907,-0.0631,125.34,-0.22,9.56,12.38,0.25,0.34,NORMAL,NORMAL
16:09:59.007,0.3030,123.89,-2.35,8.25,13.16,0.59,1.69,NORMAL,NORMAL
16:09:59.108,1.2161,122.36,1.61,11.13,13.90,-0.09,1.00,NORMAL,NORMAL
16:09:59.209,0.4270,120.74,1.32,9.26,14.61,-1.05,-0.49,NORMAL,NORMAL
16:09:59.310,0.2570,119.04,0.38,10.18,15.28,-0.54,0.54,NORMAL,NORMAL
16:09:59.411,-0.0890,117.28,1.90,10.42,15.91,-0.96,2.21,NORMAL,NORMAL
16:09:59.512,-0.3943,115.44,-2.84,8.09,16.50,-0.20,-0.29,NORMAL,NORMAL
16:09:59.613,-0.4853,113.53,2.85,9.68,17.05,-0.21,-1.10,NORMAL,NORMAL
16:09:59.714,-0.4792,111.56,4.16,8.50,17.55,-0.68,-0.15,NORMAL,NORMAL
16:09:59.815,-0.1396,109.55,0.21,10.17,18.01,0.60,-0.04,NORMAL,NORMAL
16:09:59.915,0.1564,27.52,-2.16,9.94,18.43,-0.86,2.00,NORMAL,NORMAL
16:10:00.016,0.7897,29.63,0.94,10.59,18.80,1.28,0.46,NORMAL,NORMAL
16:10:00.117,0.5611,31.78,4.00,8.68,19.12,0.51,0.96,NORMAL,NORMAL
16:10:00.218,0.3526,33.96,-0.54,10.79,19.39,-1.13,-0.77,NORMAL,NORMAL
16:10:00.318,0.0996,36.17,-5.52,9.89,19.61,0.86,0.88,NORMAL,RED_FLAG_FATIGUE
16:10:00.419,-0.2276,38.40,-4.92,10.41,19.78,-0.23,-1.49,NORMAL,NORMAL
16:10:00.520,-0.4366,40.65,-0.76,9.53,19.91,0.27,1.18,NORMAL,NORMAL
16:10:00.621,-0.4418,42.92,1.20,10.33,19.98,-0.13,-0.88,NORMAL,NORMAL
16:10:00.721,-0.2499,45.18,3.12,11.25,20.00,-0.66,0.72,NORMAL,NORMAL
16:10:00.822,-0.0229,47.45,-1.19,10.27,19.97,2.11,2.09,NORMAL,NORMAL
16:10:00.923,0.3044,49.72,-0.99,10.88,19.89,0.64,0.76,NORMAL,NORMAL
16:10:01.024,1.1689,51.97,6.59,11.40,19.76,-0.42,-1.11,NORMAL,RED_FLAG_FATIGUE
16:10:01.138,0.4730,54.42,1.96,9.90,19.56,2.38,-0.58,NORMAL,NORMAL
16:10:01.239,0.2571,56.69,-0.65,10.14,19.31,-0.32,-0.95,NORMAL,NORMAL
16:10:01.340,-0.0275,58.87,1.06,9.22,19.03,0.81,-0.87,NORMAL,NORMAL
16:10:01.441,-0.2507,61.01,2.44,9.69,18.69,-0.24,0.31,NORMAL,NORMAL
16:10:01.541,-0.4840,63.10,-0.76,9.85,18.31,-0.59,-0.25,NORMAL,NORMAL
16:10:01.642,-0.4963,65.16,-3.40,10.75,17.88,1.13,-1.95,NORMAL,NORMAL
16:10:01.743,-0.2765,67.16,1.28,11.37,17.41,-1.29,-1.88,NORMAL,NORMAL
16:10:01.844,-0.0227,69.11,2.53,10.08,16.89,0.94,0.27,NORMAL,NORMAL
16:10:01.945,0.2115,64.01,2.55,10.05,16.33,-0.28,0.79,NORMAL,NORMAL
16:10:02.046,1.1450,62.18,-0.72,10.17,15.72,-0.03,2.84,NORMAL,NORMAL
16:10:02.156,0.5782,60.28,-1.34,11.71,15.02,0.62,0.05,NORMAL,NORMAL
16:10:02.257,0.4528,58.62,0.56,9.65,14.34,-0.43,-0.91,NORMAL,NORMAL
16:10:02.357,0.0902,57.04,0.34,9.72,13.61,0.82,0.63,NORMAL,NORMAL
16:10:02.458,-0.1648,55.53,0.36,9.28,12.86,1.33,1.45,NORMAL,NORMAL
16:10:02.559,-0.4457,54.12,3.49,9.38,12.07,0.09,1.45,NORMAL,NORMAL
16:10:02.683,-0.4637,52.53,-0.18,10.56,11.07,-0.24,-0.01,NORMAL,NORMAL
